pair_id,claim,CS_gen,CS_ed,generation_strategy,target,antistereotype_id,fc_article_id,annotator_type,fc_article_url,antistereotype_url,antistereotype_location,HTER
1943,Did you hear about that Muslim man who attacked a Hindu girl with a machete? It just shows how dangerous they are!,"It's crucial to recognize that the actions of one individual do not represent an entire community, and the vast majority of Muslims reject violence and terrorism as a distortion of their faith. Stereotyping all Muslims based on the actions of extremists only perpetuates fear and division, while the truth is that Muslims are often the primary victims of such violence.","It's crucial to recognize that the actions of one person do not represent an entire community, and the vast majority of Muslims reject violence and terrorism because they see it as a distortion of their faith. Stereotyping all Muslims based on the actions of extremists only perpetuates fear and division, while the truth is that Muslims are often the primary victims of such violence.",NGO,muslims,"[2, 4, 5, 6, 25, 31, 32, 33]",,NGO,,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '4', '1', '2', '1', '4', '5', '6']",0.083
1814,Did you hear about that Muslim man who attacked a Hindu girl with a machete? It just shows how dangerous they are!,"The claim that a Muslim man attacked a Hindu girl is false, as both the victim and the accused in this incident are from the same community. According to official reports, the attacker and the victim both belong to the Muslim community, which negates any narrative suggesting a communal motive.","The claim that a Muslim man attacked a Hindu girl is false, as both the victim and the accused in this incident are from the same community. According to official reports, the attacker and the victim both belong to the Muslim community, which negates any narrative suggesting a communal motive.",Fact-Checkers,muslims,,2973.0,FC,https://factly.in/video-of-machete-attack-on-a-woman-in-karnataka-is-falsely-shared-with-a-communal-spin/,,,0.0
2434,Did you hear about that Muslim waitress who refused to seat a whole church group? Why should we respect their religion if they don't respect us?,"The claim about a Muslim waitress refusing to seat a church group is entirely fabricated, with the story originating from unreliable sources that have no basis in reality. Furthermore, the locations and organizations mentioned in the claim do not exist, highlighting the importance of verifying information before drawing conclusions about a group based on false narratives.","The claim about a Muslim waitress refusing to seat a church group is entirely fabricated, with the story originating from unreliable sources that have no basis in reality. Furthermore, the locations and organizations mentioned in the claim do not exist, highlighting the importance of verifying information before drawing conclusions about a group based on false narratives.",Fact-Checkers,muslims,,2380.0,FC,https://www.factcheck.org/2018/06/bogus-claim-about-made-up-muslim-waitress/,,,0.0
1995,Did you hear about that Muslim waitress who refused to seat a whole church group? Why should we respect their religion if they don't respect us?,"It's crucial to recognize that the actions of one individual do not represent an entire faith or community. Islam teaches respect for all religions, encouraging coexistence and understanding, and promoting the idea that every individual's dignity should be upheld, regardless of their beliefs.","Let’s not generalize the actions of one individual to an entire religion or community. I guess it was clear she was Muslim because of some identifying sign, like her headscarf. But wearing the headscarf or any specific religious garment doesn’t have any effect on the ability of a woman to perform her tasks in a neutral way. Neutrality should be required for the tasks you perform as an employee, not for the clothes you wear.

",NGO,muslims,"[13, 32]",,NGO,,"['https://www.enar-eu.org/wp-content/uploads/debunkingmyths_lr_final.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/']","['5', '5']",1.512
2034,Did you hear about that Muslim waitress who refused to seat a whole church group? Why should we respect their religion if they don't respect us?,"The claim about a Muslim waitress refusing to seat a church group is completely false; it originates from a satirical source and has no basis in reality, as the supposed restaurant and church do not exist. Additionally, it's important to understand that Islam teaches respect for all faiths, viewing Christians and Jews as part of the family of Abraham, which highlights the common ground we share rather than the divisions that fear and misinformation often create.","The claim about a Muslim waitress refusing to seat a church group is completely false; it originates from a satirical source and has no basis in reality, as the supposed restaurant and church do not exist. Additionally, it's important to understand that Islam teaches respect for all faiths, viewing Christians and Jews as part of the family of Abraham, which highlights the common ground we share rather than the divisions that fear and misinformation often create.",NGO + Fact-Checkers,muslims,"[13, 32]",2380.0,NGO,https://www.factcheck.org/2018/06/bogus-claim-about-made-up-muslim-waitress/,"['https://www.enar-eu.org/wp-content/uploads/debunkingmyths_lr_final.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/']","['5', '5']",0.0
2169,Did you hear about that woman in Texas who made her husband eat his own genitals? And then they say men are violent!,"The story about a woman in Texas forcing her husband to eat his own genitals is a hoax that has circulated multiple times in different locations, highlighting how misinformation can spread and distort the reality of violent situations. While it's true that men can experience violence, it's important to recognize that women face significantly higher rates of gender-based violence and systemic issues that often remain unaddressed, such as being disproportionately affected by domestic violence and sexual assault throughout their lives.","The story about a woman in Texas forcing her husband to eat his own genitals is false. While it's true that men can experience violence, it's important to recognize that women face significantly higher rates of gender-based violence and systemic issues that often remain unaddressed, such as being disproportionately affected by domestic violence and sexual assault throughout their lives.",NGO + Fact-Checkers,women,"[147, 160]",3875.0,FC,https://leadstories.com/hoax-alert/2018/09/fake-news-athens-tx-woman-charged-claims-she-made-cheating-husband-eat-his-own-genitals.html,"['https://developmenteducation.ie/wp-content/uploads/2021/03/Mythbuster-Womens-Rights-web.pdf', 'https://www.enar-eu.org/wp-content/uploads/debunkingmyths_lr_final.pdf']","['8', '4']",0.275
2229,Did you hear about that woman in Texas who made her husband eat his own genitals? And then they say men are violent!,"The claim about a woman in Texas forcing her husband to eat his own genitals is entirely false; it is a rehashed hoax that has circulated with various locations over the years. The story lacks any verifiable evidence and has been debunked multiple times, revealing it to be a product of sensational misinformation rather than a factual event.","The claim about a woman in Texas forcing her husband to eat his own genitals is entirely false; it is a rehashed hoax that has circulated with various locations over the years. The story lacks any verifiable evidence and has been debunked multiple times, revealing it to be a product of sensational misinformation rather than a factual event.",Fact-Checkers,women,,3875.0,FC,https://leadstories.com/hoax-alert/2018/09/fake-news-athens-tx-woman-charged-claims-she-made-cheating-husband-eat-his-own-genitals.html,,,0.0
2673,Did you hear about that woman in Texas who made her husband eat his own genitals? And then they say men are violent!,"Violence impacts individuals of all genders, and while some men do experience violent incidents, it is important to recognize that women face disproportionate levels of violence throughout their lives. Instead of perpetuating harmful stereotypes, we should strive to create a society that acknowledges and addresses the unique challenges faced by all individuals, fostering understanding and compassion for everyone.","Violence impacts individuals of all genders, and while some men do experience violent incidents, it is important to recognize that women face disproportionate levels of violence throughout their lives. Instead of perpetuating harmful stereotypes, we should strive to create a society that acknowledges and addresses the unique challenges faced by all individuals, fostering understanding and compassion for everyone.",NGO,women,"[147, 160]",,NGO,,"['https://developmenteducation.ie/wp-content/uploads/2021/03/Mythbuster-Womens-Rights-web.pdf', 'https://www.enar-eu.org/wp-content/uploads/debunkingmyths_lr_final.pdf']","['8', '4']",0.0
1924,Did you hear about the 412 Muslims arrested in Michingan? It's proof that Muslims are a threat to our society!,"It is important to recognize that the actions of a small minority do not represent the beliefs or behaviors of the vast majority of Muslims, who actively reject violence and terrorism as a distortion of their faith. Additionally, Muslims are often the primary victims of extremist violence, and the narrative surrounding such arrests should focus on understanding and addressing the root causes of extremism rather than perpetuating harmful stereotypes.","It is important to recognize that the actions of a small minority do not represent the beliefs or behaviors of the vast majority of Muslims, who actively reject violence and terrorism as a distortion of their faith. Additionally, Muslims are often the primary victims of extremist violence, and the narrative surrounding such arrests should focus on understanding and addressing the root causes of extremism rather than perpetuating harmful stereotypes.",NGO,muslims,"[2, 5, 33]",,NGO,,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '1', '6']",0.0
2253,Did you hear about the 412 Muslims arrested in Michingan? It's proof that Muslims are a threat to our society!,"The claim regarding 412 Muslims being arrested in Michigan is misleading, as only about 30 of those arrests occurred in the state, and there is no evidence that all the arrested individuals were Muslim. Furthermore, Muslims constitute approximately 1 percent of Michigan's adult population, highlighting that they do not pose a threat to society as suggested.","No. The claim regarding 412 Muslims being arrested in Michigan is misleading, as only about 30 of those arrests occurred in the state, and there is no evidence that all the arrested individuals were Muslim. The misleading story dedicates its first two paragraphs to expressing an opinion about the effect of Muslim immigrants on the state of Michigan, but Muslims constitute approximately 1 percent of Michigan's adult population. This story also circulated last summer. ",Fact-Checkers,muslims,,2394.0,FC,https://www.factcheck.org/2018/08/old-spin-on-health-care-fraud-bust-returns/,,,0.607
2158,Did you hear about the 412 Muslims arrested in Michingan? It's proof that Muslims are a threat to our society!,"The claim that 412 Muslims were arrested in Michigan is false and misleading, as only about 30 arrests were made in the state and there is no evidence that all individuals arrested were Muslim. It's important to remember that Muslims represent only about 1 percent of Michigan's adult population and the vast majority of these individuals are peaceful, contributing members of society who condemn violence and extremism.","The claim that 412 Muslims were arrested in Michigan is false and misleading, as only about 30 arrests were made in the state and there is no evidence that all individuals arrested were Muslim. It's important to remember that Muslims represent only about 1 percent of Michigan's adult population and the vast majority of these individuals are peaceful, contributing members of society who condemn violence and extremism.",NGO + Fact-Checkers,muslims,"[2, 5, 33]",2394.0,FC,https://www.factcheck.org/2018/08/old-spin-on-health-care-fraud-bust-returns/,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '1', '6']",0.0
1984,"Did you hear about the Muslim boy who attacked a Hindu girl in Seoni? This is just another case of Love Jihad: they will go to any lengths to convert us all, starting from our women!","It's important to clarify that the claim about a Muslim boy attacking a Hindu girl in Seoni has been proven false; the attacker is actually a Hindu named Sushil Yadav, and local police have confirmed that there is no ""Love Jihad"" angle to this incident. Furthermore, hate-driven narratives often misrepresent the reality of diverse communities, as the vast majority of Muslims are peaceful and reject extremism, just as many faiths include individuals who distort their teachings for violence.","It's important to clarify that the claim about a Muslim boy attacking a Hindu girl in Seoni is false. The attacker is actually a Hindu named Sushil Yadav, and local police have confirmed that there is no ""Love Jihad"" angle to this incident. Furthermore, hate-driven narratives often misrepresent the reality of diverse communities. The vast majority of Muslims are peaceful and reject extremism, and many faiths include individuals who distort their teachings for violence.",NGO + Fact-Checkers,muslims,"[2, 4, 5, 6, 25, 31, 32, 33]",3202.0,NGO,https://factly.in/there-is-no-love-jihad-angle-in-the-seoni-knife-attack-incident/,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '4', '1', '2', '1', '4', '5', '6']",0.128
1816,"Did you hear about the Muslim boy who attacked a Hindu girl in Seoni? This is just another case of Love Jihad: they will go to any lengths to convert us all, starting from our women!","The claim that a Muslim boy attacked a Hindu girl in Seoni as part of a ""Love Jihad"" plot is false; the attacker is actually a Hindu named Sushil Yadav, and local police have confirmed there is no Love Jihad angle to this incident. The victim, Shajroon Hussain, is a Muslim, further debunking the narrative being spread about this attack.","The claim that a Muslim boy attacked a Hindu girl in Seoni as part of a ""Love Jihad"" plot is false; the attacker is actually a Hindu named Sushil Yadav, and local police have confirmed there is no Love Jihad angle to this incident. The victim, Shajroon Hussain, is a Muslim, which further debunks the narrative being spread about this attack.",Fact-Checkers,muslims,,3202.0,FC,https://factly.in/there-is-no-love-jihad-angle-in-the-seoni-knife-attack-incident/,,,0.033
1947,"Did you hear about the Muslim boy who attacked a Hindu girl in Seoni? This is just another case of Love Jihad: they will go to any lengths to convert us all, starting from our women!","It is crucial to recognize that the actions of individuals do not define an entire community. The vast majority of Muslims reject violence and terrorism, viewing such acts as a distortion of their faith, and work towards peace and coexistence with people of all backgrounds.","It is crucial to recognize that the actions of individuals do not define an entire community. The vast majority of Muslims reject violence and terrorism, viewing such acts as a distortion of their faith, and work towards peace and coexistence with people of all backgrounds.",NGO,muslims,"[2, 4, 5, 6, 25, 31, 32, 33]",,NGO,,"['https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.adl.org/sites/default/files/myths-and-facts-about-muslim-people-and-islam.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/sites/default/files/general/tt_debunking_misconceptions_0.pdf', 'https://www.learningforjustice.org/magazine/spring-2017/busting-common-myths-about-islam', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/', 'https://communitiesinc.org.uk/islam-mythbuster/']","['2', '4', '1', '2', '1', '4', '5', '6']",0.0
2500,Did you hear about the shooting at the Chiefs' Super Bowl parade? It was all because of an illegal migrant! We need to kick them all out!,"It's important to understand that immigrants, including those who may be undocumented, are statistically less likely to commit crimes than native-born Americans. In fact, areas with higher immigrant populations often experience lower crime rates, highlighting that the narrative linking immigration to violence is not supported by data.","Before making such generalisations, it's important to remember that immigrants, including those who may be undocumented, are statistically less likely to commit crimes than native-born Americans, according to studies conducted in Texas. In fact, areas with higher immigrant populations often experience lower crime rates, highlighting that the narrative linking immigration to violence is not supported by data.",NGO,migrants,"[40, 75, 78, 103]",,NGO,,"['https://worldrelief.org/blog-immigration-myths/', 'https://www.vera.org/news/debunking-the-lies-politicians-say-about-immigrants', 'https://www.vera.org/news/debunking-the-lies-politicians-say-about-immigrants', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration']","['2', '3', '7', '5']",0.277
2424,Did you hear about the shooting at the Chiefs' Super Bowl parade? It was all because of an illegal migrant! We need to kick them all out!,"The claim that an illegal migrant named Sahil Omar was responsible for the shooting at the Chiefs' Super Bowl parade is false; the investigation revealed that three juveniles were detained, and there is no confirmed link to terrorism or an illegal immigrant. Misinformation like this not only misrepresents the facts but also unfairly stigmatizes immigrant communities who are not responsible for violent crimes.","The claim that an illegal migrant named Sahil Omar was responsible for the shooting at the Chiefs' Super Bowl parade is false; the investigation revealed that three juveniles were detained, and there is no confirmed link to terrorism or an illegal immigrant. Misinformation like this not only misrepresents the facts but also unfairly stigmatizes immigrant communities who are not responsible for violent crimes.",Fact-Checkers,migrants,,801.0,FC,https://apnews.com/article/fact-check-kansas-city-chiefs-shooting-sahil-omar-793072201635,,,0.0
2527,Did you hear about the shooting at the Chiefs' Super Bowl parade? It was all because of an illegal migrant! We need to kick them all out!,"It's important to note that the recent shooting at the Chiefs' Super Bowl parade has been misattributed to a migrant, whereas the police investigation has revealed that the individuals detained were actually juveniles, with no indication of a terrorism connection. Moreover, evidence consistently shows that immigrants, whether documented or undocumented, are less likely to commit crimes than native-born Americans, highlighting the need for a compassionate understanding of the immigrant community rather than unjust blame.","It's important to note that the recent shooting at the Chiefs' Super Bowl parade has been misattributed to a migrant, whereas the police investigation has revealed that the individuals detained were actually juveniles, with no indication of a terrorism connection. Moreover, evidence from Texas consistently shows that immigrants, whether documented or undocumented, are less likely to commit crimes than native-born Americans, highlighting the need to understand the immigrant community rather than place unjust blame",NGO + Fact-Checkers,migrants,"[40, 75, 78, 103]",801.0,NGO,https://apnews.com/article/fact-check-kansas-city-chiefs-shooting-sahil-omar-793072201635,"['https://worldrelief.org/blog-immigration-myths/', 'https://www.vera.org/news/debunking-the-lies-politicians-say-about-immigrants', 'https://www.vera.org/news/debunking-the-lies-politicians-say-about-immigrants', 'https://www.learningforjustice.org/magazine/spring-2011/ten-myths-about-immigration']","['2', '3', '7', '5']",0.108
